City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Kruisfontein,ZA,-34.0033,24.7314,51.89,84,0,6.64,clear sky
205,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.3,85,100,10.85,overcast clouds
206,Longyearbyen,SJ,78.2186,15.6401,46.24,71,0,12.66,clear sky
207,Ardusat,RO,47.65,23.3667,48.52,87,61,2.3,broken clouds
208,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,81,75,8.01,broken clouds
209,Namatanai,PG,-3.6667,152.4333,84.09,71,71,4.61,light rain
210,Lavrentiya,RU,65.5833,-171.0,35.26,94,100,4.5,overcast clouds
211,Riyadh,SA,24.6877,46.7219,82.54,15,0,7.31,clear sky
212,Pochutla,MX,15.7432,-96.4661,76.82,87,100,8.81,overcast clouds
213,Tocache,PE,-8.1842,-76.5125,69.48,94,17,1.25,few clouds
214,Ribeira Grande,PT,38.5167,-28.7,59.4,63,40,9.22,scattered clouds
215,Khislavichi,RU,54.1871,32.1582,38.75,97,16,8.23,few clouds
216,Mabaruma,GY,8.2,-59.7833,74.39,91,74,4.03,broken clouds
217,Zheleznodorozhnyy,RU,55.7503,38.0042,45.21,92,64,7.29,broken clouds
218,Coihaique,CL,-45.5752,-72.0662,32.61,86,20,2.3,few clouds
219,Apomu,NG,7.3333,4.1833,72.45,100,100,2.08,overcast clouds
220,Pisco,PE,-13.7,-76.2167,64.45,72,0,13.8,clear sky
221,Verkhnyaya Inta,RU,65.9811,60.3094,54.19,53,0,22.77,clear sky
222,Xuddur,SO,4.1213,43.8894,71.76,82,80,15.01,broken clouds
223,Kongolo,CD,-5.3833,27.0,68.54,97,99,2.93,light rain
224,Corrales,US,35.2378,-106.6067,92.44,9,0,19.57,clear sky
225,Progreso,MX,21.2833,-89.6667,82.51,76,96,11.97,overcast clouds
226,Tongchuan,CN,35.0806,109.0897,77.61,42,100,17.02,overcast clouds
227,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,52,0,6.91,clear sky
228,Ushibuka,JP,32.1906,130.0228,68.5,81,100,8.41,overcast clouds
229,Portland,US,45.5234,-122.6762,59.74,88,75,10.0,broken clouds
230,Okha,RU,53.5739,142.9478,37.65,96,100,9.26,overcast clouds
231,Haines Junction,CA,60.7522,-137.5108,62.55,16,18,9.22,few clouds
232,Gojra,PK,31.1487,72.6866,87.21,40,0,7.94,clear sky
233,Gat,IL,31.61,34.7642,79.39,73,10,1.07,clear sky
234,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,14.97,scattered clouds
235,Alofi,NU,-19.0595,-169.9187,84.09,74,57,8.05,broken clouds
236,Vostok,RU,46.4856,135.8833,62.82,60,97,7.14,overcast clouds
237,Shenzhen,CN,22.5455,114.0683,85.21,86,98,7.16,overcast clouds
238,Mahebourg,MU,-20.4081,57.7,73.69,73,40,14.97,scattered clouds
239,Socorro,US,31.6546,-106.3033,96.91,4,75,32.21,dust
240,Vila,PT,42.0304,-8.1588,58.08,77,0,2.01,clear sky
241,Fergus Falls,US,46.283,-96.0776,82.38,49,0,6.91,clear sky
242,Vila Do Maio,CV,15.1333,-23.2167,74.19,83,15,11.23,few clouds
243,Joshimath,IN,30.5667,79.5667,65.25,76,94,1.3,overcast clouds
244,East London,ZA,-33.0153,27.9116,62.44,79,0,12.08,clear sky
245,Goderich,CA,43.7501,-81.7165,54.91,82,100,4.61,overcast clouds
246,Katsuura,JP,35.1333,140.3,74.05,62,0,3.36,clear sky
247,Kangaatsiaq,GL,68.3065,-53.4641,30.58,85,95,11.36,overcast clouds
248,Ito,JP,34.9667,139.0833,74.14,51,2,2.62,clear sky
249,Acajutla,SV,13.5928,-89.8275,81.14,76,81,3.62,broken clouds
250,Kargala,RU,56.6208,83.9607,62.15,54,100,3.67,overcast clouds
251,Norman Wells,CA,65.282,-126.8329,57.24,30,75,18.41,broken clouds
252,Tuy Hoa,VN,13.0833,109.3,83.77,65,100,10.85,overcast clouds
253,Saint Pete Beach,US,27.7253,-82.7412,83.19,59,0,8.05,clear sky
254,Mindelo,CV,16.8901,-24.9804,72.95,78,20,21.85,few clouds
255,Tiksi,RU,71.6872,128.8694,31.48,95,100,6.55,overcast clouds
256,Vardo,NO,70.3705,31.1107,40.98,93,100,4.61,overcast clouds
257,Acapulco,MX,16.8634,-99.8901,76.82,94,100,3.44,overcast clouds
258,Ust-Nera,RU,64.5667,143.2,50.11,71,100,3.58,overcast clouds
259,Port Shepstone,ZA,-30.7414,30.455,68.2,47,2,7.43,clear sky
260,Rajula,IN,21.05,71.4333,83.03,66,86,16.22,overcast clouds
261,Huarmey,PE,-10.0681,-78.1522,63.68,86,8,9.46,clear sky
262,Kosh-Agach,RU,50.0,88.6667,60.1,37,25,1.21,scattered clouds
263,Hualmay,PE,-11.0964,-77.6139,62.64,85,11,9.57,few clouds
264,Karratha,AU,-20.7377,116.8463,68.47,96,100,20.33,moderate rain
265,Ngudu,TZ,-2.9667,33.3333,64.15,89,99,3.4,overcast clouds
266,Zhenhai,CN,24.2582,118.0905,81.28,87,98,11.12,overcast clouds
267,Mackenzie,CA,55.2999,-123.1698,44.82,93,100,5.75,overcast clouds
268,Priladozhskiy,RU,59.85,31.4833,44.53,1,100,3.96,overcast clouds
269,Esperance,AU,-33.8667,121.9,51.64,67,100,36.13,overcast clouds
270,Normandin,CA,48.8333,-72.5321,64.71,45,89,6.91,overcast clouds
271,Ostrovnoy,RU,68.0531,39.5131,37.31,98,100,7.74,light rain
272,Samana,DO,19.2056,-69.3369,77.88,86,13,9.37,few clouds
273,Dentsville,US,34.064,-80.9582,84.06,58,0,0.0,clear sky
274,Trat,TH,12.5,102.5,83.88,87,100,3.6,overcast clouds
275,Dera Bugti,PK,29.0307,69.151,84.92,10,0,13.56,clear sky
276,Tshikapa,CD,-6.4167,20.8,69.53,88,99,0.89,overcast clouds
277,Torbay,CA,47.6666,-52.7314,38.26,92,100,31.07,moderate rain
